<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.04.13	00:03:30.774	159.620	159.694			6
2026.04.13	00:03:34.210		159.691			4
2026.04.13	00:03:35.171		159.694			4
2026.04.13	00:03:36.330		159.689			4
2026.04.13	00:03:40.365	159.610	159.686			6
2026.04.13	00:03:49.092		159.683			4
2026.04.13	00:03:53.219	159.519	159.681			6
2026.04.13	00:03:55.166	159.518				2
2026.04.13	00:04:00.297	159.518				2
2026.04.13	00:04:04.509		159.675			4
2026.04.13	00:04:11.429		159.681			4
2026.04.13	00:04:27.702	159.530	159.682			6
2026.04.13	00:04:30.112		159.676			4
2026.04.13	00:04:33.541	159.518	159.675			6
2026.04.13	00:04:35.648	159.530	159.676			6
2026.04.13	00:04:37.316		159.643			4
2026.04.13	00:04:37.980		159.639			4
2026.04.13	00:04:44.938	159.510	159.637			6
2026.04.13	00:04:59.803	159.519	159.638			6
2026.04.13	00:05:01.967	159.519				2
2026.04.13	00:05:02.267		159.650			4
2026.04.13	00:05:02.572		159.644			4
2026.04.13	00:05:03.969	159.537				2
2026.04.13	00:05:04.871		159.654			4
2026.04.13	00:05:05.173	159.536				2
2026.04.13	00:05:16.321	159.528				2
2026.04.13	00:05:30.753	159.530	159.655			6
2026.04.13	00:05:31.055	159.545				2
2026.04.13	00:05:36.774		159.653			4
2026.04.13	00:05:38.586	159.550	159.654			6
2026.04.13	00:05:42.380		159.658			4
2026.04.13	00:05:48.554		159.650			4
2026.04.13	00:05:49.870		159.654			4
2026.04.13	00:05:54.647		159.653			4
2026.04.13	00:06:04.728	159.549				2
2026.04.13	00:06:05.028	159.550				2
2026.04.13	00:06:09.628		159.657			4
2026.04.13	00:07:04.734	159.550				2
2026.04.13	00:07:11.086		159.657			4
2026.04.13	00:07:24.645		159.656			4
2026.04.13	00:08:01.088	159.550				2
2026.04.13	00:08:27.875		159.656			4
2026.04.13	00:08:42.536		159.642			4
2026.04.13	00:08:54.313		159.637			4
2026.04.13	00:08:54.614	159.549	159.642			6
2026.04.13	00:08:54.916		159.647			4
2026.04.13	00:08:55.217	159.550				2
2026.04.13	00:09:00.232	159.550	159.646			6
2026.04.13	00:10:00.233	159.550	159.646			6
2026.04.13	00:10:01.608		159.644			4
2026.04.13	00:10:16.673		159.646			4
2026.04.13	00:10:41.538		159.647			4
2026.04.13	00:11:00.201	159.555				2
2026.04.13	00:11:11.327	159.553				2
2026.04.13	00:11:32.376	159.552				2
2026.04.13	00:11:41.707		159.647			4
2026.04.13	00:11:46.519		159.644			4
2026.04.13	00:11:57.054	159.550				2
2026.04.13	00:12:01.087	159.550				2
2026.04.13	00:12:49.659		159.644			4
2026.04.13	00:13:01.660	159.550				2
2026.04.13	00:13:08.112		159.640			4
2026.04.13	00:13:22.852		159.643			4
2026.04.13	00:13:37.510	159.540	159.642			6
2026.04.13	00:13:40.682	159.541	159.643			6
2026.04.13	00:13:40.983	159.542				2
2026.04.13	00:13:43.329	159.541				2
2026.04.13	00:13:43.991	159.540				2
2026.04.13	00:13:54.667		159.645			4
2026.04.13	00:13:54.968		159.646			4
2026.04.13	00:14:00.759	159.540				2
2026.04.13	00:14:11.710		159.633			4
2026.04.13	00:14:16.523		159.627			4
2026.04.13	00:14:16.823	159.539				2
2026.04.13	00:14:34.153	159.538				2
2026.04.13	00:14:35.509	159.533	159.625			6
2026.04.13	00:14:46.331	159.532	159.629			6
2026.04.13	00:14:47.830		159.626			4
2026.04.13	00:15:00.159	159.532				2
2026.04.13	00:15:00.461	159.531				2
2026.04.13	00:15:00.760	159.526				2
2026.04.13	00:15:05.576		159.628			4
2026.04.13	00:15:10.099	159.522	159.626			6
2026.04.13	00:15:11.603		159.627			4
2026.04.13	00:15:20.029		159.611			4
2026.04.13	00:15:20.330		159.610			4
2026.04.13	00:15:29.352	159.529				2
2026.04.13	00:15:30.859	159.524				2
2026.04.13	00:15:41.994	159.522	159.607			6
2026.04.13	00:15:45.901		159.606			4
2026.04.13	00:15:55.825		159.607			4
2026.04.13	00:16:00.030	159.522				2
2026.04.13	00:16:07.244		159.609			4
2026.04.13	00:16:08.146	159.518				2
2026.04.13	00:16:09.649	159.517				2
2026.04.13	00:16:10.851		159.608			4
2026.04.13	00:16:16.266	159.513				2
2026.04.13	00:16:25.298		159.609			4
2026.04.13	00:16:34.327	159.505				2
2026.04.13	00:16:34.629	159.520				2
2026.04.13	00:16:43.349	159.505				2
2026.04.13	00:16:47.805	159.508	159.607			6
2026.04.13	00:16:48.424	159.523				2
2026.04.13	00:16:49.026		159.604			4
2026.04.13	00:16:49.625	159.521				2
2026.04.13	00:16:51.728		159.606			4
2026.04.13	00:16:54.136	159.513				2
2026.04.13	00:17:00.148	159.513				2
2026.04.13	00:17:32.929	159.507				2
2026.04.13	00:17:41.342	159.510				2
2026.04.13	00:17:42.894	159.513				2
2026.04.13	00:17:43.195		159.605			4
2026.04.13	00:17:44.629	159.510				2
2026.04.13	00:17:44.929	159.507				2
2026.04.13	00:17:47.666	159.510				2
2026.04.13	00:17:52.043	159.513				2
2026.04.13	00:17:52.343	159.517				2
2026.04.13	00:17:55.567	159.519				2
2026.04.13	00:17:55.869	159.525				2
2026.04.13	00:17:58.494	159.517				2
2026.04.13	00:18:00.087	159.517				2
2026.04.13	00:18:03.761	159.513				2
2026.04.13	00:18:04.951		159.604			4
2026.04.13	00:18:08.340	159.517				2
2026.04.13	00:18:12.177	159.521				2
2026.04.13	00:18:13.360	159.517				2
2026.04.13	00:18:16.747	159.523				2
2026.04.13	00:18:19.449	159.525				2
2026.04.13	00:18:38.173	159.513				2
2026.04.13	00:18:51.405		159.603			4
2026.04.13	00:19:00.130	159.513				2
2026.04.13	00:19:30.518	159.525				2
2026.04.13	00:19:50.260		159.602			4
2026.04.13	00:19:52.108	159.513				2
2026.04.13	00:19:55.256		159.589			4
2026.04.13	00:19:55.858		159.588			4
2026.04.13	00:19:56.761	159.515	159.602			6
2026.04.13	00:20:00.074	159.515				2
2026.04.13	00:20:12.720		159.601			4
2026.04.13	00:20:16.628	159.525	159.608			6
2026.04.13	00:20:30.532	159.526				2
2026.04.13	00:20:32.152	159.521				2
2026.04.13	00:20:42.152	159.522				2
2026.04.13	00:20:49.684	159.521				2
2026.04.13	00:20:59.162	159.533	159.607			6
2026.04.13	00:21:00.104	159.533				2
2026.04.13	00:21:24.460	159.541	159.650			6
2026.04.13	00:21:24.761	159.546				2
2026.04.13	00:21:27.712	159.545				2
2026.04.13	00:21:33.258	159.540				2
2026.04.13	00:21:34.201	159.539				2
2026.04.13	00:21:38.786	159.537				2
2026.04.13	00:21:47.782	159.541				2
2026.04.13	00:22:00.142	159.541				2
2026.04.13	00:22:17.608		159.658			4
2026.04.13	00:22:17.908	159.552	159.667			6
2026.04.13	00:22:19.059		159.668			4
