<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.02.06	00:03:30.644	156.866	156.948			6
2026.02.06	00:03:43.329	156.871	156.953			6
2026.02.06	00:04:00.029	156.871				2
2026.02.06	00:04:02.199	156.866	156.950			6
2026.02.06	00:04:34.679	156.871	156.955			6
2026.02.06	00:04:34.986	156.935	157.016			6
2026.02.06	00:04:35.916	156.941	157.010			6
2026.02.06	00:04:50.444	156.923	156.998			6
2026.02.06	00:04:55.700	156.942	157.008			6
2026.02.06	00:05:00.031	156.942				2
2026.02.06	00:05:04.692		156.992			4
2026.02.06	00:05:07.171		156.994			4
2026.02.06	00:05:07.792		156.989			4
2026.02.06	00:05:22.900	156.941	156.986			6
2026.02.06	00:05:23.202		156.985			4
2026.02.06	00:05:26.904		156.984			4
2026.02.06	00:05:30.915	157.009	157.063			6
2026.02.06	00:05:31.218		157.061			4
2026.02.06	00:05:31.522		157.076			4
2026.02.06	00:05:31.828		157.077			4
2026.02.06	00:05:32.133		157.078			4
2026.02.06	00:05:32.739	157.030	157.083			6
2026.02.06	00:05:34.274	157.028				2
2026.02.06	00:05:34.882	157.009	157.074			6
2026.02.06	00:05:35.497		157.073			4
2026.02.06	00:05:37.948		157.066			4
2026.02.06	00:05:39.497		157.067			4
2026.02.06	00:05:41.343		157.066			4
2026.02.06	00:05:41.652		157.065			4
2026.02.06	00:05:42.570		157.068			4
2026.02.06	00:05:43.184		157.070			4
2026.02.06	00:05:44.414		157.074			4
2026.02.06	00:05:47.785	157.023	157.083			6
2026.02.06	00:05:49.017	157.024				2
2026.02.06	00:05:49.635	157.017				2
2026.02.06	00:05:49.942	157.016	157.082			6
2026.02.06	00:05:50.244	157.011	157.077			6
2026.02.06	00:05:51.464	157.010	157.076			6
2026.02.06	00:05:52.687	157.009	157.068			6
2026.02.06	00:05:54.529		157.067			4
2026.02.06	00:05:55.754		157.065			4
2026.02.06	00:05:56.374		157.070			4
2026.02.06	00:05:57.604		157.072			4
2026.02.06	00:06:00.042	157.017	157.083			6
2026.02.06	00:06:00.346	157.009	157.071			6
2026.02.06	00:06:04.038	157.012	157.078			6
2026.02.06	00:06:04.343	157.010	157.076			6
2026.02.06	00:06:05.263	157.015	157.081			6
2026.02.06	00:06:05.572	157.017	157.083			6
2026.02.06	00:06:06.181	157.014	157.080			6
2026.02.06	00:06:06.481	157.041				2
2026.02.06	00:06:07.715		157.076			4
2026.02.06	00:06:08.026		157.071			4
2026.02.06	00:06:08.334		157.079			4
2026.02.06	00:06:08.643		157.078			4
2026.02.06	00:06:09.576		157.076			4
2026.02.06	00:06:12.647		157.075			4
2026.02.06	00:06:13.871		157.074			4
2026.02.06	00:06:17.247	156.997	157.065			6
2026.02.06	00:06:17.567		157.064			4
2026.02.06	00:06:20.036		157.062			4
2026.02.06	00:06:21.575		157.060			4
2026.02.06	00:06:24.364		157.061			4
2026.02.06	00:06:26.521		157.064			4
2026.02.06	00:06:29.300		157.063			4
2026.02.06	00:06:34.238		157.062			4
2026.02.06	00:06:37.634	156.972				2
2026.02.06	00:06:40.738	156.958	157.056			6
2026.02.06	00:06:45.992		157.057			4
2026.02.06	00:06:49.078		157.056			4
2026.02.06	00:06:49.385		157.039			4
2026.02.06	00:06:51.240		157.032			4
2026.02.06	00:06:55.871		157.037			4
2026.02.06	00:06:59.567		157.045			4
2026.02.06	00:07:00.189	156.958				2
2026.02.06	00:07:00.812		157.037			4
2026.02.06	00:07:11.956		157.036			4
2026.02.06	00:07:26.499		157.037			4
2026.02.06	00:07:29.604	156.967				2
2026.02.06	00:08:00.199	156.967	157.036			6
2026.02.06	00:08:00.507	156.958	157.037			6
2026.02.06	00:08:02.364		157.035			4
2026.02.06	00:08:02.674	156.967				2
2026.02.06	00:08:07.021		157.023			4
2026.02.06	00:08:11.041	157.041	157.079			6
2026.02.06	00:08:11.342		157.076			4
2026.02.06	00:08:12.268		157.075			4
2026.02.06	00:08:13.188		157.071			4
2026.02.06	00:08:15.347		157.070			4
2026.02.06	00:08:15.959	156.941	157.017			6
2026.02.06	00:08:17.803		157.020			4
2026.02.06	00:08:23.064		157.021			4
2026.02.06	00:08:26.450		157.018			4
2026.02.06	00:08:27.688		157.024			4
2026.02.06	00:08:28.614		157.023			4
2026.02.06	00:08:32.306		157.022			4
2026.02.06	00:08:35.080	156.918	157.015			6
2026.02.06	00:08:37.557		157.016			4
2026.02.06	00:08:40.948		157.021			4
2026.02.06	00:08:44.347		157.023			4
2026.02.06	00:08:51.439	156.941				2
2026.02.06	00:08:51.745	156.938	157.010			6
2026.02.06	00:08:56.374		157.009			4
2026.02.06	00:08:57.913		157.008			4
2026.02.06	00:08:58.838		157.009			4
2026.02.06	00:09:00.068	156.938				2
2026.02.06	00:09:03.158		157.004			4
2026.02.06	00:09:06.869		157.005			4
2026.02.06	00:09:09.352		157.006			4
2026.02.06	00:09:13.052		157.007			4
2026.02.06	00:09:15.816		157.008			4
2026.02.06	00:09:19.207		157.009			4
2026.02.06	00:09:22.292		157.008			4
2026.02.06	00:09:24.760		157.009			4
2026.02.06	00:09:26.303		157.014			4
2026.02.06	00:09:38.973	156.943				2
