<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.04.24	00:03:30.438	159.606	159.676			6
2026.04.24	00:04:00.300	159.606				2
2026.04.24	00:04:27.120	159.605				2
2026.04.24	00:04:30.733		159.676			4
2026.04.24	00:04:55.435	159.626	159.666			6
2026.04.24	00:05:00.260	159.626				2
2026.04.24	00:05:04.481		159.681			4
2026.04.24	00:05:06.289		159.680			4
2026.04.24	00:05:21.336	159.610				2
2026.04.24	00:06:00.178	159.610				2
2026.04.24	00:06:05.898	159.629				2
2026.04.24	00:06:06.501		159.680			4
2026.04.24	00:06:10.113		159.678			4
2026.04.24	00:06:13.132		159.681			4
2026.04.24	00:06:36.615	159.610				2
2026.04.24	00:06:43.537	159.629				2
2026.04.24	00:07:00.111	159.629				2
2026.04.24	00:07:13.357		159.681			4
2026.04.24	00:07:13.961		159.679			4
2026.04.24	00:07:14.865	159.610				2
2026.04.24	00:07:22.995	159.629				2
2026.04.24	00:07:53.410	159.610				2
2026.04.24	00:07:54.014	159.628				2
2026.04.24	00:08:00.039	159.628				2
2026.04.24	00:08:14.191		159.679			4
2026.04.24	00:08:24.730	159.610				2
2026.04.24	00:08:27.142	159.628				2
2026.04.24	00:08:57.544	159.610				2
2026.04.24	00:09:00.250	159.610	159.680			6
2026.04.24	00:09:09.883	159.628				2
2026.04.24	00:09:40.589	159.610				2
2026.04.24	00:09:45.705	159.598	159.682			6
2026.04.24	00:09:46.609	159.610	159.677			6
2026.04.24	00:09:49.620	159.602				2
2026.04.24	00:09:50.825		159.663			4
2026.04.24	00:09:54.746	159.635				2
2026.04.24	00:10:00.170	159.635				2
2026.04.24	00:10:07.395		159.664			4
2026.04.24	00:10:09.505	159.591				2
2026.04.24	00:10:10.707	159.573				2
2026.04.24	00:10:14.613	159.577	159.668			6
2026.04.24	00:10:16.114	159.579	159.682			6
2026.04.24	00:10:17.015	159.577	159.667			6
2026.04.24	00:10:18.823	159.579	159.682			6
2026.04.24	00:10:19.728	159.577	159.673			6
2026.04.24	00:10:20.931		159.680			4
2026.04.24	00:10:21.831		159.667			4
2026.04.24	00:10:26.341	159.579	159.682			6
2026.04.24	00:10:27.245	159.577	159.667			6
2026.04.24	00:10:30.252	159.576	159.675			6
2026.04.24	00:10:42.887	159.578	159.681			6
2026.04.24	00:10:52.204	159.635				2
2026.04.24	00:10:58.514	159.605				2
2026.04.24	00:11:00.017	159.605				2
2026.04.24	00:11:43.030		159.681			4
2026.04.24	00:11:49.947	159.635				2
2026.04.24	00:12:00.175	159.635				2
2026.04.24	00:12:20.605	159.605				2
2026.04.24	00:12:28.429		159.684			4
2026.04.24	00:12:30.534	159.635				2
2026.04.24	00:12:48.891	159.650				2
2026.04.24	00:12:49.191	159.635				2
2026.04.24	00:12:49.493	159.650				2
2026.04.24	00:12:49.793	159.635				2
2026.04.24	00:12:50.097	159.650				2
2026.04.24	00:12:50.700	159.635				2
2026.04.24	00:12:51.004	159.650				2
2026.04.24	00:12:51.304	159.635				2
2026.04.24	00:12:51.605	159.650				2
2026.04.24	00:12:51.904	159.635				2
2026.04.24	00:12:52.205	159.650				2
2026.04.24	00:12:52.505	159.635				2
2026.04.24	00:12:55.212		159.679			4
2026.04.24	00:13:00.020	159.635				2
2026.04.24	00:13:01.822	159.605				2
2026.04.24	00:13:15.651	159.635				2
2026.04.24	00:13:38.234	159.667	159.691			6
2026.04.24	00:13:46.656	159.630				2
2026.04.24	00:14:00.197	159.630				2
2026.04.24	00:14:29.682	159.667				2
2026.04.24	00:14:34.804		159.693			4
2026.04.24	00:15:00.586	159.667				2
2026.04.24	00:15:00.885	159.639				2
2026.04.24	00:15:03.305	159.633				2
2026.04.24	00:15:03.608	159.634				2
2026.04.24	00:15:10.828	159.633				2
2026.04.24	00:15:11.130	159.636	159.699			6
2026.04.24	00:15:36.364	159.667				2
2026.04.24	00:16:00.960	159.667				2
2026.04.24	00:16:03.195		159.690			4
2026.04.24	00:16:03.797		159.691			4
2026.04.24	00:16:07.404	159.636	159.694			6
2026.04.24	00:16:08.304		159.691			4
2026.04.24	00:16:10.110		159.697			4
2026.04.24	00:16:35.088		159.695			4
2026.04.24	00:16:49.227		159.691			4
2026.04.24	00:16:57.065	159.667				2
2026.04.24	00:17:00.077	159.667				2
2026.04.24	00:17:17.533		159.690			4
2026.04.24	00:17:27.795	159.636				2
2026.04.24	00:17:41.947		159.696			4
2026.04.24	00:17:48.269	159.634	159.699			6
2026.04.24	00:17:48.979		159.696			4
2026.04.24	00:17:50.488		159.699			4
2026.04.24	00:17:51.205		159.696			4
2026.04.24	00:17:51.811		159.695			4
2026.04.24	00:17:56.621	159.667				2
2026.04.24	00:18:00.234	159.667				2
2026.04.24	00:18:27.911	159.634				2
2026.04.24	00:18:38.758	159.667				2
2026.04.24	00:18:52.000		159.691			4
